date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:39:33	452/452	---M--	200	added ('OK')	text/plain	etag:%22084bc3cc3484e961daac12f1bc9c3f0f%22	https://playdoge.io/robots.txt		(from )
05:39:35	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/en	C:/game/playdoge.io/en.html	(from )
05:39:36	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:39:37%20GMT	http://playdoge.io/assets/images/svg-icons/token.svg	C:/game/playdoge.io/assets/images/svg-icons/token.1.delayed	(from https://playdoge.io/en)
05:39:36	14321/14321	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222e608b57c7e70dc4bd773cd228591a0c%22	https://playdoge.io/assets/images/svg-icons/token.svg	C:/game/playdoge.io/assets/images/svg-icons/token.svg	(from https://playdoge.io/en)
05:39:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2022%20Aug%202024%2000:39:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/game/www.googletagmanager.com/gtm.35445.delayed	(from https://playdoge.io/en)
05:39:37	1741/1741	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219fb0fd50e69d6b97e1badc837a6dff2%22	https://cdn.onesignal.com/sdks/web/v16/OneSignalSDK.page.js	C:/game/cdn.onesignal.com/sdks/web/v16/OneSignalSDK.page.js	(from https://playdoge.io/en)
05:39:40	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/	C:/game/playdoge.io/index.html	(from https://playdoge.io/en)
05:39:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:39:41%20GMT	http://playdoge.io/ChicagoFLF.1e3e78893b2f0eae.ttf	C:/game/playdoge.io/ChicagoFLF.1e3e78893b2f0eae.ttf	(from https://playdoge.io/en)
05:39:40	31256/31256	---M--	200	added ('OK')	binary/octet-stream	etag:%221a243397695904f6f56e490ffd77a9cb%22	https://playdoge.io/ChicagoFLF.1e3e78893b2f0eae.ttf	C:/game/playdoge.io/ChicagoFLF.1e3e78893b2f0eae.ttf	(from https://playdoge.io/en)
05:39:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:39:41%20GMT	http://playdoge.io/styles.e68f214559a96fa9.css	C:/game/playdoge.io/styles.e68f214559a96fa9.css	(from https://playdoge.io/en)
05:39:42	935275/935275	---MCZ	200	added ('OK')	text/css	etag:W/%22767676e26cdb103b06745eebe2e223b4%22	https://playdoge.io/styles.e68f214559a96fa9.css	C:/game/playdoge.io/styles.e68f214559a96fa9.css	(from https://playdoge.io/en)
05:39:45	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/ar	C:/game/playdoge.io/ar.html	(from https://playdoge.io/en)
05:39:48	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/bg	C:/game/playdoge.io/bg.html	(from https://playdoge.io/en)
05:39:51	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/zh-hans	C:/game/playdoge.io/zh-hans.html	(from https://playdoge.io/en)
05:39:55	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/zh-hant	C:/game/playdoge.io/zh-hant.html	(from https://playdoge.io/en)
05:39:59	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/cz	C:/game/playdoge.io/cz.html	(from https://playdoge.io/en)
05:40:03	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/nl	C:/game/playdoge.io/nl.html	(from https://playdoge.io/en)
05:40:04	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/fi	C:/game/playdoge.io/fi.html	(from https://playdoge.io/en)
05:40:06	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/fr	C:/game/playdoge.io/fr.html	(from https://playdoge.io/en)
05:40:08	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/de	C:/game/playdoge.io/de.html	(from https://playdoge.io/en)
05:40:09	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/el	C:/game/playdoge.io/el.html	(from https://playdoge.io/en)
05:40:11	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/hu	C:/game/playdoge.io/hu.html	(from https://playdoge.io/en)
05:40:13	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/id	C:/game/playdoge.io/id.html	(from https://playdoge.io/en)
05:40:14	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/it	C:/game/playdoge.io/it.html	(from https://playdoge.io/en)
05:40:16	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/jp	C:/game/playdoge.io/jp.html	(from https://playdoge.io/en)
05:40:18	1057365/1057365	---MCZ	200	added ('OK')	text/html	etag:W/%2237e92b19aeca087b9a25245e6e0a65bd%22	https://playdoge.io/kr	C:/game/playdoge.io/kr.html	(from https://playdoge.io/en)
