date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:47	87/87	---MCZ	200	added ('OK')	text/plain	etag:W/%2267c1808d-47%22	https://pepeascension.com/robots.txt		(from )
20:36:47	5425/5425	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:23:25%20GMT	https://pepeascension.com/	C:/pepe/pepeascension.com/index.html	(from )
20:36:48	153628/153628	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2267c1808c-2581c%22	https://pepeascension.com/favicon.ico	C:/pepe/pepeascension.com/favicon.ico	(from https://pepeascension.com/)
20:36:50	2534616/2534616	---M--	200	added ('OK')	image/png	etag:%2267c18086-26acd8%22	https://pepeascension.com/assets/images/social-frame-2.png	C:/pepe/pepeascension.com/assets/images/social-frame-2.png	(from https://pepeascension.com/)
20:36:51	80574/80574	---MCZ	200	added ('OK')	text/css	etag:W/%2267c18086-13abe%22	https://pepeascension.com/assets/index-Duqvvwqw.css	C:/pepe/pepeascension.com/assets/index-Duqvvwqw.css	(from https://pepeascension.com/)
20:36:51	246160/246160	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2028%20Feb%202025%2015:36:52%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/pepe/connect.facebook.net/en_US/fbevents.js	(from https://pepeascension.com/)
20:36:51	3909922/3909922	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267c18087-3ba922%22	https://pepeascension.com/assets/index-Dm5-ab8B.js	C:/pepe/pepeascension.com/assets/index-Dm5-ab8B.js	(from https://pepeascension.com/)
20:36:53	0/0	---M--	302	error ('Found')	text/html		http://dynamic.criteo.com/js/ld/ld.js?a=117980	C:/pepe/dynamic.criteo.com/js/ld/ld.6532e.delayed	(from https://pepeascension.com/)
20:36:53	3877/3877	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202025%2015:36:53%20GMT	https://plausible.io/js/script.file-downloads.hash.outbound-links.pageview-props.revenue.tagged-events.js	C:/pepe/plausible.io/js/script.file-downloads.hash.outbound-links.pageview-props.revenue.tagged-events.js	(from https://pepeascension.com/)
20:36:53	73143/73143	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202025%2015:36:54%20GMT	https://dynamic.criteo.com/js/ld/ld.js?a=117980	C:/pepe/dynamic.criteo.com/js/ld/ld532e.js	(from https://pepeascension.com/)
20:36:54	4178/4178	---M--	200	added ('OK')	image/gif	etag:%2267c18089-1052%22	https://pepeascension.com/assets/ajax-loader-BcnMEykj.gif	C:/pepe/pepeascension.com/assets/ajax-loader-BcnMEykj.gif	(from https://pepeascension.com/assets/index-Duqvvwqw.css)
20:36:54	5425/5425	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:23:25%20GMT	https://pepeascension.com/a	C:/pepe/pepeascension.com/a.html	(from https://connect.facebook.net/en_US/fbevents.js)
20:36:55	5425/5425	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:23:25%20GMT	https://pepeascension.com/POST	C:/pepe/pepeascension.com/POST.html	(from https://connect.facebook.net/en_US/fbevents.js)
20:36:55	5425/5425	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:23:25%20GMT	https://pepeascension.com/b.resolvedLink	C:/pepe/pepeascension.com/b.html	(from https://connect.facebook.net/en_US/fbevents.js)
20:36:55	5425/5425	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:23:25%20GMT	https://pepeascension.com/schema.org/	C:/pepe/pepeascension.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
20:36:56	5425/5425	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:23:25%20GMT	https://pepeascension.com/signals/iwl.js	C:/pepe/pepeascension.com/signals/iwl.html	(from https://connect.facebook.net/en_US/fbevents.js)
